Shape ID,Text,Shape Type,Screenshot File,Line Source,Line Destination
1,"Home - Get ready to teach - GOV.UK","Rectangle","page-1-http___localhost_3000_home.png",,
2,"Home - Get ready to teach - GOV.UK","Rectangle","page-2-http___localhost_3000_home_main_content.png",,
3,"Home - Get ready to teach - GOV.UK","Rectangle","page-3-http___localhost_3000_.png",,
4,"Home - Get ready to teach - GOV.UK","Rectangle","page-4-http___localhost_3000__main_content.png",,
5,"prepare - Get ready to teach - GOV.UK","Rectangle","page-5-http___localhost_3000_prepare_prepare.png",,
6,"resources - Get ready to teach - GOV.UK","Rectangle","page-6-http___localhost_3000_resources_resource.png",,
7,"support - Get ready to teach - GOV.UK","Rectangle","page-7-http___localhost_3000_support_support.png",,
8,"Give feedback - Get ready to teach - GOV.UK","Rectangle","page-8-http___localhost_3000_footer_feedback.png",,
9,"Email - Get ready to teach - GOV.UK","Rectangle","page-9-http___localhost_3000_email.png",,
10,"Home - Get ready to teach - GOV.UK","Rectangle","page-10-http___localhost_3000_testastyle_home.png",,
11,"Cookies Policy - Get ready to teach - GOV.UK","Rectangle","page-11-http___localhost_3000_footer_cookies.png",,
12,"Get support - Get ready to teach - GOV.UK","Rectangle","page-12-http___localhost_3000_footer_support.png",,
13,"Accessibility statement - Get ready to teach - GOV.UK","Rectangle","page-13-http___localhost_3000_footer_accessibili.png",,
15,"How to prepare for teacher training - Get ready to teach - GOV.UK","Rectangle","page-15-http___localhost_3000_prepare_prepare_tr.png",,
35,"How to prepare for teacher training - Get ready to teach - GOV.UK","Rectangle","page-35-http___localhost_3000_prepare_prepare_tr.png",,
16,"Prepare for your first school placement - Get ready to teach - GOV.UK","Rectangle","page-16-http___localhost_3000_prepare_prepare_pl.png",,
17,"What to ask your teacher training provider - Get ready to teach - GOV.UK","Rectangle","page-17-http___localhost_3000_prepare_prepare_pr.png",,
18,"What to expect from your teacher training mentor - Get ready to teach - GOV.UK","Rectangle","page-18-http___localhost_3000_prepare_prepare_me.png",,
19,"Advice from former trainees - Get ready to teach - GOV.UK","Rectangle","page-19-http___localhost_3000_prepare_prepare_ad.png",,
21,"Lesson planning as a trainee teacher - Get ready to teach - GOV.UK","Rectangle","page-21-http___localhost_3000_resources_resource.png",,
40,"Lesson planning as a trainee teacher - Get ready to teach - GOV.UK","Rectangle","page-40-http___localhost_3000_resources_resource.png",,
22,"Behaviour management - Get ready to teach - GOV.UK","Rectangle","page-22-http___localhost_3000_resources_resource.png",,
23,"Meeting the teachers' standards - Get ready to teach - GOV.UK","Rectangle","page-23-http___localhost_3000_resources_resource.png",,
25,"Support through your training course - Get ready to teach - GOV.UK","Rectangle","page-25-http___localhost_3000_support_support_co.png",,
43,"Support through your training course - Get ready to teach - GOV.UK","Rectangle","page-43-http___localhost_3000_support_support_co.png",,
26,"Get support - Get ready to teach - GOV.UK","Rectangle","page-26-http___localhost_3000_support_support_ou.png",,
,,,,"1","2"
,,,,"2","2"
,,,,"2","3"
,,,,"3","4"
,,,,"4","4"
,,,,"4","3"
,,,,"4","1"
,,,,"4","5"
,,,,"4","6"
,,,,"4","7"
,,,,"4","8"
,,,,"4","9"
,,,,"4","10"
,,,,"4","11"
,,,,"4","8"
,,,,"4","12"
,,,,"4","13"
,,,,"3","3"
,,,,"3","1"
,,,,"3","5"
,,,,"5","14"
,,,,"5","3"
,,,,"5","1"
,,,,"5","5"
,,,,"5","6"
,,,,"5","7"
,,,,"5","8"
,,,,"5","1"
,,,,"5","5"
,,,,"5","15"
,,,,"5","16"
